Position,Title,Title Type,Runtime,Year,Genres,Directors
314,Patton,movie,172,1970,"Biography, Drama, War",Franklin J. Schaffner
315,The Pawnbroker,movie,116,1964,Drama,Sidney Lumet
316,La perla,movie,85,1947,"Adventure, Drama, Romance",Emilio Fernández
317,Peter Pan,movie,105,1924,"Adventure, Family, Fantasy",Herbert Brenon
318,The Phantom of the Opera,movie,93,1925,Horror,"Rupert Julian, Ernst Laemmle, Lon Chaney, Edward Sedgwick"
319,The Philadelphia Story,movie,112,1940,"Comedy, Romance",George Cukor
320,Pillow Talk,movie,102,1959,"Comedy, Romance",Michael Gordon
321,The Pink Panther,movie,115,1963,"Comedy, Crime, Romance",Blake Edwards
322,A Place in the Sun,movie,122,1951,"Drama, Romance",George Stevens
323,Planet of the Apes,movie,112,1968,"Adventure, Sci-Fi",Franklin J. Schaffner
324,"Please, Don't Bury Me Alive!",movie,81,1976,"Crime, Drama",Efrain Gutierrez
325,Point Blank,movie,92,1967,"Crime, Drama, Thriller",John Boorman
326,The Poor Little Rich Girl,movie,65,1917,"Comedy, Drama, Family, Fantasy, Romance",Maurice Tourneur
327,Porgy and Bess,movie,138,1959,"Drama, Musical, Romance","Otto Preminger, Rouben Mamoulian"
328,The Power and the Glory,movie,76,1933,Drama,William K. Howard
329,The Power of the Press,movie,62,1928,Drama,Frank Capra
330,The Princess Bride,movie,98,1987,"Adventure, Family, Fantasy, Romance",Rob Reiner
